Name,Buy,Sell,Open,Current,impVola,hisVola,Delta,GAMMA,RHO,THETA,VEGA,lastSettle,thisSettle,High,Low,Symbol
50ETF??9??2900,0.4019,0.4063,0.4389,0.397,0.2279,0.183,-0.94%,0.52%,-0.67%,0.04%,0.14%,0.459,0.405,0.445,0.397,10001220
50ETF??9??2950,0.4486,0.4534,0.4863,0.4452,0.2406,0.183,-0.96%,0.37%,-0.69%,0.06%,0.10%,0.509,0.455,0.4906,0.4435,10001221
50ETF??9??3000,0.4956,0.5007,0.5433,0.4947,0.2583,0.183,-0.98%,0.26%,-0.71%,0.07%,0.07%,0.559,0.505,0.5433,0.4931,10001222
50ETF??9??3100,0.5915,0.5974,0.6433,0.5899,0.2699,0.183,-0.99%,0.12%,-0.74%,0.09%,0.03%,0.659,0.605,0.6433,0.5896,10001223
50ETF??9??3200,0.6888,0.6955,0.7433,0.6879,0.2922,0.183,-1.00%,0.05%,-0.77%,0.10%,0.01%,0.759,0.705,0.7433,0.685,10001224
50ETF??9??3300,0.7865,0.7939,0.823,0.786,0.3119,0.183,-1.00%,0.02%,-0.80%,0.10%,0.00%,0.859,0.805,0.8251,0.7846,10001225
50ETF??9??3400,0.8843,0.8925,0.9168,0.8877,0.3589,0.183,-1.00%,0.01%,-0.82%,0.11%,0.00%,0.959,0.905,0.9208,0.8869,10001226
50ETF??9??3500,0.9828,0.9918,1.0218,0.9883,0.3961,0.183,-1.00%,0.00%,-0.85%,0.11%,0.00%,1.059,1.005,1.0222,0.9824,10001227
50ETF??9??3600,1.0811,1.0909,1.1205,1.0868,0.4165,0.183,-1.00%,0.00%,-0.87%,0.12%,0.00%,1.159,1.105,1.1213,1.0847,10001228
50ETF??9??2850,0.3567,0.3607,0.3955,0.3576,0.2447,0.183,-0.92%,0.70%,-0.64%,0.02%,0.19%,0.4097,0.3576,0.3981,0.3507,10001230
50ETF??9??2800,0.3123,0.3133,0.348,0.3111,0.2315,0.183,-0.88%,0.91%,-0.61%,-0.01%,0.24%,0.3611,0.3128,0.3545,0.3088,10001232
50ETF??9??2750,0.2705,0.271,0.315,0.2679,0.2248,0.183,-0.84%,1.13%,-0.57%,-0.03%,0.30%,0.3169,0.2705,0.315,0.265,10001234
50ETF??9??2600,0.1576,0.1577,0.194,0.1575,0.2203,0.183,-0.63%,1.73%,-0.42%,-0.11%,0.46%,0.1975,0.1576,0.1946,0.1538,10001244
50ETF??9??2650,0.1919,0.1921,0.2318,0.1921,0.223,0.183,-0.71%,1.57%,-0.47%,-0.09%,0.42%,0.2341,0.1921,0.2318,0.1877,10001245
50ETF??9??2700,0.23,0.232,0.2717,0.228,0.2221,0.183,-0.78%,1.36%,-0.53%,-0.06%,0.37%,0.2756,0.23,0.2717,0.2251,10001246
50ETF??9??2550,0.1267,0.1268,0.1603,0.1253,0.216,0.183,-0.55%,1.82%,-0.36%,-0.13%,0.49%,0.1631,0.1267,0.1603,0.1233,10001276
50ETF??9??2500,0.099,0.0992,0.1298,0.0992,0.2171,0.183,-0.46%,1.82%,-0.30%,-0.14%,0.49%,0.1332,0.0992,0.1298,0.0962,10001282
50ETF??9??2450,0.0771,0.0772,0.0961,0.0769,0.2184,0.183,-0.37%,1.73%,-0.24%,-0.14%,0.46%,0.1064,0.0771,0.1008,0.0747,10001312
50ETF??12??2500,0.1353,0.136,0.1622,0.136,0.2201,0.183,-0.43%,1.27%,-0.58%,-0.09%,0.69%,0.1707,0.136,0.1637,0.1336,10001322
50ETF??12??2550,0.1621,0.1626,0.1894,0.1612,0.2195,0.183,-0.49%,1.29%,-0.67%,-0.08%,0.70%,0.199,0.1621,0.1926,0.1597,10001323
50ETF??12??2600,0.1903,0.1906,0.219,0.1906,0.2213,0.183,-0.56%,1.27%,-0.76%,-0.07%,0.69%,0.2291,0.1906,0.2229,0.1874,10001324
50ETF??12??2650,0.2197,0.2212,0.2524,0.2212,0.2216,0.183,-0.62%,1.23%,-0.85%,-0.06%,0.67%,0.2631,0.2212,0.2557,0.2184,10001325
50ETF??12??2700,0.2545,0.2548,0.2883,0.2546,0.2227,0.183,-0.67%,1.17%,-0.94%,-0.05%,0.63%,0.3001,0.2546,0.291,0.2512,10001326
50ETF??12??2750,0.2865,0.2901,0.3254,0.29,0.2238,0.183,-0.72%,1.08%,-1.02%,-0.04%,0.59%,0.3369,0.29,0.3277,0.286,10001327
50ETF??12??2800,0.3239,0.3275,0.3665,0.3275,0.2253,0.183,-0.77%,0.98%,-1.10%,-0.02%,0.53%,0.3765,0.3275,0.3668,0.3249,10001328
50ETF??12??2850,0.3632,0.3672,0.4016,0.3672,0.2278,0.183,-0.81%,0.87%,-1.17%,-0.01%,0.47%,0.4174,0.3672,0.4072,0.3647,10001329
50ETF??12??2900,0.4089,0.4136,0.4469,0.4081,0.2301,0.183,-0.85%,0.76%,-1.23%,0.01%,0.42%,0.4607,0.4113,0.4469,0.4081,10001330
50ETF??12??2450,0.1144,0.1149,0.1366,0.1148,0.2229,0.183,-0.37%,1.22%,-0.49%,-0.09%,0.66%,0.1463,0.1148,0.139,0.111,10001332
50ETF??12??2950,0.4518,0.4568,0.49,0.4528,0.2377,0.183,-0.88%,0.66%,-1.29%,0.02%,0.36%,0.509,0.455,0.49,0.45,10001334
50ETF??7??2450,0.0361,0.0362,0.055,0.0362,0.2207,0.183,-0.32%,3.05%,-0.06%,-0.27%,0.24%,0.0625,0.0362,0.0593,0.033,10001344
50ETF??7??2500,0.0566,0.057,0.0803,0.057,0.216,0.183,-0.49%,3.39%,-0.09%,-0.29%,0.27%,0.0896,0.057,0.0867,0.0523,10001345
50ETF??7??2550,0.0846,0.0847,0.1238,0.0847,0.2117,0.183,-0.65%,3.14%,-0.12%,-0.25%,0.25%,0.1261,0.0847,0.1238,0.0796,10001346
50ETF??7??2600,0.1212,0.1215,0.164,0.1212,0.2175,0.183,-0.79%,2.46%,-0.15%,-0.17%,0.19%,0.167,0.1212,0.164,0.1143,10001347
50ETF??7??2650,0.1616,0.1621,0.199,0.1614,0.2177,0.183,-0.89%,1.64%,-0.17%,-0.08%,0.13%,0.209,0.1616,0.2031,0.156,10001348
50ETF??7??2700,0.2047,0.205,0.2444,0.2047,0.2116,0.183,-0.95%,0.94%,-0.18%,-0.01%,0.07%,0.259,0.205,0.248,0.1998,10001349
50ETF??7??2750,0.2532,0.2542,0.3,0.2532,0.2335,0.183,-0.98%,0.47%,-0.19%,0.04%,0.04%,0.309,0.255,0.3,0.247,10001350
50ETF??7??2800,0.3005,0.3026,0.34,0.302,0.2526,0.183,-0.99%,0.20%,-0.20%,0.07%,0.02%,0.359,0.305,0.3447,0.2957,10001351
50ETF??7??2850,0.3503,0.3527,0.385,0.3503,0.2537,0.183,-1.00%,0.08%,-0.20%,0.08%,0.01%,0.409,0.355,0.3914,0.3471,10001352
50ETF??7??2400,0.0208,0.0209,0.037,0.0209,0.222,0.183,-0.19%,2.27%,-0.03%,-0.21%,0.18%,0.041,0.0209,0.039,0.0189,10001356
50ETF??9??2400,0.0582,0.0584,0.0766,0.0583,0.22,0.183,-0.28%,1.55%,-0.18%,-0.13%,0.42%,0.0834,0.0583,0.0784,0.0559,10001358
50ETF??12??2400,0.0931,0.0938,0.1096,0.0935,0.2218,0.183,-0.31%,1.13%,-0.41%,-0.08%,0.62%,0.1206,0.0935,0.1158,0.0912,10001360
50ETF??7??2900,0.3983,0.4018,0.4362,0.3986,0.2168,0.183,-1.00%,0.03%,-0.21%,0.09%,0.00%,0.459,0.405,0.4404,0.3937,10001362
50ETF??7??2350,0.0122,0.0125,0.0243,0.0122,0.2309,0.183,-0.09%,1.38%,-0.02%,-0.13%,0.11%,0.0264,0.0122,0.0243,0.0105,10001366
50ETF??9??2350,0.0436,0.044,0.0569,0.0432,0.2218,0.183,-0.21%,1.31%,-0.13%,-0.11%,0.35%,0.0627,0.0436,0.0595,0.041,10001368
50ETF??12??2350,0.0757,0.0759,0.0975,0.0745,0.2202,0.183,-0.25%,1.03%,-0.33%,-0.08%,0.56%,0.0991,0.0758,0.0975,0.0739,10001370
50ETF??7??2300,0.0064,0.0065,0.0158,0.0064,0.2355,0.183,-0.04%,0.68%,-0.01%,-0.06%,0.05%,0.0162,0.0064,0.0158,0.0055,10001374
50ETF??9??2300,0.0312,0.0314,0.0455,0.0314,0.2242,0.183,-0.14%,1.04%,-0.09%,-0.09%,0.28%,0.0465,0.0314,0.0455,0.0296,10001376
50ETF??12??2300,0.0604,0.0609,0.0751,0.0609,0.2237,0.183,-0.20%,0.90%,-0.26%,-0.07%,0.49%,0.0822,0.0609,0.077,0.0589,10001378
50ETF??7??2250,0.0036,0.0039,0.0087,0.0039,0.2512,0.183,-0.01%,0.26%,0.00%,-0.02%,0.02%,0.0088,0.0039,0.0087,0.0032,10001380
50ETF??9??2250,0.0224,0.0228,0.0344,0.0228,0.2286,0.183,-0.09%,0.77%,-0.06%,-0.07%,0.21%,0.0344,0.0228,0.0344,0.0216,10001382
50ETF??12??2250,0.0469,0.0474,0.0605,0.0474,0.2233,0.183,-0.15%,0.76%,-0.20%,-0.06%,0.41%,0.0657,0.0474,0.0619,0.0457,10001384
50ETF??8??2250,0.0121,0.0124,0.017,0.0124,0.2368,0.183,-0.05%,0.63%,-0.02%,-0.06%,0.10%,0.0212,0.0124,0.02,0.0118,10001394
50ETF??8??2300,0.0184,0.0189,0.0305,0.0184,0.2296,0.183,-0.10%,1.01%,-0.04%,-0.09%,0.16%,0.0324,0.0184,0.0308,0.0175,10001395
50ETF??8??2350,0.0276,0.0284,0.0438,0.0283,0.2277,0.183,-0.16%,1.45%,-0.06%,-0.13%,0.24%,0.0456,0.0283,0.0439,0.0266,10001396
50ETF??8??2400,0.0408,0.0409,0.0609,0.0409,0.2231,0.183,-0.25%,1.87%,-0.10%,-0.16%,0.30%,0.0627,0.0409,0.0609,0.039,10001397
50ETF??8??2450,0.0582,0.0595,0.084,0.0582,0.2207,0.183,-0.36%,2.19%,-0.14%,-0.18%,0.36%,0.0868,0.0582,0.0841,0.056,10001398
50ETF??8??2500,0.0813,0.082,0.111,0.0816,0.2224,0.183,-0.47%,2.34%,-0.18%,-0.19%,0.38%,0.1141,0.0816,0.111,0.0776,10001399
50ETF??8??2550,0.1079,0.1092,0.1428,0.1085,0.2211,0.183,-0.59%,2.30%,-0.23%,-0.17%,0.37%,0.1447,0.1085,0.1428,0.1044,10001400
50ETF??8??2600,0.1398,0.14,0.17,0.14,0.2203,0.183,-0.69%,2.07%,-0.27%,-0.14%,0.34%,0.1816,0.14,0.174,0.1361,10001401
50ETF??8??2650,0.1761,0.1778,0.2055,0.1765,0.2223,0.183,-0.78%,1.73%,-0.31%,-0.10%,0.28%,0.2198,0.1765,0.2135,0.1713,10001402
