K,buyPrice,sellPrice,Open,currentPrice,primiumRate,impVola,High,Low
3.6,0.0041,0.0047,0.0038,0.0044,37.99%,0.3038,0.0048,0.0038
3.5,0.0049,0.0055,0.0044,0.0049,34.18%,0.2863,0.0054,0.0041
3.4,0.0057,0.0062,0.0051,0.0058,30.39%,0.2704,0.0065,0.0051
3.3,0.0074,0.0076,0.0066,0.0076,26.63%,0.2579,0.0082,0.0063
3.2,0.0098,0.0101,0.0085,0.0099,22.89%,0.2434,0.0109,0.0083
3.1,0.0144,0.0153,0.0131,0.0146,19.24%,0.234,0.0158,0.0123
3,0.0216,0.0218,0.0205,0.0217,15.69%,0.2238,0.0238,0.0195
2.95,0.0274,0.0288,0.0267,0.0285,14.03%,0.224,0.0291,0.024
2.9,0.0352,0.0363,0.0351,0.0352,12.37%,0.2197,0.0375,0.0304
2.85,0.044,0.0456,0.0465,0.0455,10.85%,0.2198,0.049,0.0382
2.8,0.057,0.059,0.062,0.0572,9.39%,0.2181,0.0644,0.0489
2.75,0.0725,0.0735,0.0799,0.0725,8.06%,0.2185,0.0824,0.0626
2.7,0.0899,0.0913,0.1008,0.0899,6.81%,0.2175,0.105,0.0801
2.65,0.111,0.1112,0.1278,0.111,5.70%,0.2175,0.1313,0.1004
2.6,0.1358,0.1373,0.1582,0.137,4.79%,0.2207,0.1632,0.1237
2.55,0.1635,0.1669,0.1914,0.1665,4.00%,0.2244,0.194,0.1513
2.5,0.1948,0.1985,0.2289,0.199,3.33%,0.2281,0.2313,0.1815
2.45,0.2295,0.2382,0.2702,0.229,2.57%,0.2195,0.2827,0.2148
2.4,0.2665,0.2768,0.3131,0.2662,2.08%,0.2198,0.3131,0.2528